,Informal,Formal
0,"Hey Jim, got a sec to chat about the Q3 numbers?","Dear Jim,

I hope this email finds you well. I was wondering if you might have a moment to discuss the third quarter financial results. Your insights would be greatly appreciated.

Best regards,
[Your Name]"
1,"Lisa - heads up, client mtg pushed to 3pm. Cool?","Dear Lisa,

I wanted to inform you that the client meeting has been rescheduled to 3:00 PM. Please let me know if this new time works for you.

Thank you,
[Your Name]"
2,"Yo Mark, where's that report at? Deadline's Friday!","Dear Mark,

I hope this message finds you well. I'm writing to inquire about the status of the report. As a reminder, the deadline is this Friday. Could you please provide an update on your progress?

Best regards,
[Your Name]"
3,"Boss, can I WFH tomorrow? Got a dentist appt.","Dear [Manager's Name],

I have a dental appointment scheduled for tomorrow afternoon. Would it be possible for me to work from home tomorrow to accommodate this commitment? I will ensure all my tasks are completed as usual.

Thank you for your consideration,
[Your Name]"
4,Team - pizza in the break room! Get it while it's hot!,"Dear Team,

I'm pleased to inform you that there is pizza available in the break room. Please feel free to help yourselves while it's still warm.

Enjoy,
[Your Name]"
5,"Alex, u free for a quick call? Got questions re: new project.","Dear Alex,

I hope this email finds you well. I have some questions regarding the new project and was wondering if you might be available for a brief phone call at your convenience.

Best regards,
[Your Name]"
6,"Guys, who's in for happy hour after work? Usual spot @ 6.","Dear Colleagues,

I wanted to extend an invitation to join us for after-work drinks at our usual venue at 6:00 PM. If you're interested in attending, please let me know.

Best regards,
[Your Name]"
7,Sarah - thx for the help yesterday! You're a lifesaver.,"Dear Sarah,

I wanted to express my sincere gratitude for your assistance yesterday. Your support was invaluable and greatly appreciated.

Thank you again,
[Your Name]"
8,IT dept - printer on 3rd floor's jammed again. Help!,"Dear IT Department,

I am writing to report an issue with the printer on the third floor. It appears to be jammed again. Could you please send someone to address this problem at your earliest convenience?

Thank you for your attention to this matter,
[Your Name]"
9,Reminder: team lunch tmrw @ noon. Don't forget!,"Dear Team,

This is a friendly reminder about our team lunch scheduled for tomorrow at 12:00 PM. We look forward to seeing everyone there.

Best regards,
[Your Name]"
10,"Hey Sam, can u send over the latest sales figs? Need em ASAP.","Dear Sam,

I hope this email finds you well. Could you please send me the most recent sales figures at your earliest convenience? I require them urgently for a report I'm preparing.

Thank you for your assistance,
[Your Name]"
11,"Team, heads up - AC's on the fritz. Might get toasty in here today.","Dear Team,

I wanted to inform you that we are experiencing issues with the air conditioning system today. As a result, the office temperature may be higher than usual. We apologize for any inconvenience this may cause.

Best regards,
[Your Name]"
12,Julie - got a min to look over my presentation? Kinda nervous about it.,"Dear Julie,

I hope you're doing well. I was wondering if you might have a moment to review my presentation. I would greatly appreciate your feedback as I'm feeling somewhat apprehensive about it.

Thank you for your time,
[Your Name]"
13,"Yo IT, my laptop's acting weird. Can someone swing by?","Dear IT Department,

I am experiencing some unusual issues with my laptop. Would it be possible for a member of your team to visit my desk and assess the problem?

Thank you for your assistance,
[Your Name]"
